UUID        = pppppppp-hhhh-yyyy-ssss-ioioioioioio
ScanDate    = 20180101_120001
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21749776     RESP   3746 
     21749784     RESP   3744 
     21749792     RESP   3740 
     21749800     RESP   3731 
     21749808     RESP   3726 
     21749816     RESP   3719 
     21749824     RESP   3715 
     21749832     RESP   3704 
     21749840     RESP   3695 
     21749848     RESP   3679 
     21749856     RESP   3652 
     21749864     RESP   3618 
     21749872     RESP   3587 
     21749880     RESP   3546 
     21749888     RESP   3508 
     21749896     RESP   3472 
     21749904     RESP   3418 
     21749912     RESP   3350 
     21749920     RESP   3281 
     21749928     RESP   3222 
     21749936     RESP   3164 
     21749944     RESP   3101 
     21749952     RESP   3033 
     21749960     RESP   2966 
     21749968     RESP   2909 
     21749976     RESP   2860 
     21749984     RESP   2822 
     21749992     RESP   2799 
     21750000     RESP   2777 
     21750008     RESP   2745 
     21750016     RESP   2707 
     21750024     RESP   2671 
     21750032     RESP   2637  PULS_TRIGGER
     21750040     RESP   2606 
     21750048     RESP   2570 
     21750056     RESP   2522 
     21750064     RESP   2475 
     21750072     RESP   2428 
     21750080     RESP   2387 
     21750088     RESP   2351 
     21750096     RESP   2322 
     21750104     RESP   2295 
     21750112     RESP   2270 
     21750120     RESP   2248 
     21750128     RESP   2221 
     21750136     RESP   2194 
     21750144     RESP   2169 
     21750152     RESP   2140 
     21750160     RESP   2113 
     21750168     RESP   2077 
     21750176     RESP   2045 
     21750184     RESP   2009 
     21750192     RESP   1976 
     21750200     RESP   1942 
     21750208     RESP   1908 
     21750216     RESP   1879 
     21750224     RESP   1850 
     21750232     RESP   1834 
     21750240     RESP   1820 
     21750248     RESP   1800 
     21750256     RESP   1778 
     21750264     RESP   1753 
     21750272     RESP   1726 
     21750280     RESP   1685 
     21750288     RESP   1631 
     21750296     RESP   1568 
     21750304     RESP   1517 
     21750312     RESP   1478 
     21750320     RESP   1451 
     21750328     RESP   1431 
     21750336     RESP   1422 
     21750344     RESP   1418 
     21750352     RESP   1406 
     21750360     RESP   1397 
     21750368     RESP   1395 
     21750376     RESP   1393  PULS_TRIGGER
     21750384     RESP   1391 
     21750392     RESP   1386 
     21750400     RESP   1379 
     21750408     RESP   1370 
     21750416     RESP   1364 
     21750424     RESP   1361 
     21750432     RESP   1359 
     21750440     RESP   1357 
     21750448     RESP   1355 
     21750456     RESP   1352 
     21750464     RESP   1348 
     21750472     RESP   1343 
     21750480     RESP   1339 
     21750488     RESP   1332 
     21750496     RESP   1328 
     21750504     RESP   1321 
     21750512     RESP   1314 
     21750520     RESP   1310 
     21750528     RESP   1303 
     21750536     RESP   1303 
     21750544     RESP   1301 
     21750552     RESP   1296 
     21750560     RESP   1294 
     21750568     RESP   1294 
     21750576     RESP   1294 
     21750584     RESP   1296 
     21750592     RESP   1298 
     21750600     RESP   1307 
     21750608     RESP   1314 
     21750616     RESP   1319 
     21750624     RESP   1328 
     21750632     RESP   1339 
     21750640     RESP   1348 
     21750648     RESP   1352 
     21750656     RESP   1346 
     21750664     RESP   1330 
     21750672     RESP   1321 
     21750680     RESP   1314 
