UUID        = pppppppp-hhhh-yyyy-ssss-ioioioioioio
ScanDate    = 20180101_120001
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21748330     PULS   1834 
     21748332     PULS   1839 
     21748334     PULS   1834 
     21748336     PULS   1834 
     21748338     PULS   1834 
     21748340     PULS   1834 
     21748342     PULS   1829 
     21748344     PULS   1824 
     21748346     PULS   1824 
     21748348     PULS   1824 
     21748350     PULS   1824 
     21748352     PULS   1824 
     21748354     PULS   1829 
     21748356     PULS   1829 
     21748358     PULS   1839 
     21748360     PULS   1839 
     21748362     PULS   1843 
     21748364     PULS   1848 
     21748366     PULS   1848 
     21748368     PULS   1848 
     21748370     PULS   1848 
     21748372     PULS   1848 
     21748374     PULS   1848 
     21748376     PULS   1853 
     21748378     PULS   1848 
     21748380     PULS   1848 
     21748382     PULS   1848 
     21748384     PULS   1843 
     21748386     PULS   1843 
     21748388     PULS   1843 
     21748390     PULS   1843 
     21748392     PULS   1843 
     21748394     PULS   1843 
     21748396     PULS   1853 
     21748398     PULS   1858 
     21748400     PULS   1858 
     21748402     PULS   1862 
     21748404     PULS   1862 
     21748406     PULS   1862 
     21748408     PULS   1862 
     21748410     PULS   1858 
     21748412     PULS   1858 
     21748414     PULS   1853 
     21748416     PULS   1843 
     21748418     PULS   1843 
     21748420     PULS   1843 
     21748422     PULS   1839 
     21748424     PULS   1834 
     21748426     PULS   1829 
     21748428     PULS   1829 
     21748430     PULS   1829 
     21748432     PULS   1824 
     21748434     PULS   1824 
     21748436     PULS   1824 
     21748438     PULS   1829 
     21748440     PULS   1839 
     21748442     PULS   1843 
     21748444     PULS   1848 
     21748446     PULS   1858 
     21748448     PULS   1858 
     21748450     PULS   1862 
     21748452     PULS   1867 
     21748454     PULS   1867 
     21748456     PULS   1867 
     21748458     PULS   1867 
     21748460     PULS   1858 
     21748462     PULS   1858 
     21748464     PULS   1853 
     21748466     PULS   1853 
     21748468     PULS   1858 
     21748470     PULS   1862 
     21748472     PULS   1872 
     21748474     PULS   1891 
     21748476     PULS   1915 
     21748478     PULS   1948 
     21748480     PULS   1986 
     21748482     PULS   2033 
     21748484     PULS   2081 
     21748486     PULS   2143 
     21748488     PULS   2204 
     21748490     PULS   2271 
     21748492     PULS   2337 
     21748494     PULS   2409 
     21748496     PULS   2475 
     21748498     PULS   2542 
     21748500     PULS   2603 
     21748502     PULS   2656 
     21748504     PULS   2713 
     21748506     PULS   2765 
     21748508     PULS   2812 
     21748510     PULS   2850 
     21748512     PULS   2888 
     21748514     PULS   2917 
     21748516     PULS   2936 
     21748518     PULS   2950 
     21748520     PULS   2960 
     21748522     PULS   2969 
     21748524     PULS   2964 
     21748526     PULS   2960 
     21748528     PULS   2945 
     21748530     PULS   2931 
     21748532     PULS   2907 
     21748534     PULS   2884 
     21748536     PULS   2855 
     21748538     PULS   2827 
     21748540     PULS   2793 
     21748542     PULS   2755  PULS_TRIGGER
     21748544     PULS   2722 
     21748546     PULS   2689 
     21748548     PULS   2656 
     21748550     PULS   2632 
     21748552     PULS   2599 
     21748554     PULS   2570 
     21748556     PULS   2546 
     21748558     PULS   2513 
     21748560     PULS   2489 
     21748562     PULS   2461 
     21748564     PULS   2432 
     21748566     PULS   2409 
     21748568     PULS   2380 
     21748570     PULS   2352 
     21748572     PULS   2328 
     21748574     PULS   2299 
     21748576     PULS   2280 
     21748578     PULS   2257 
     21748580     PULS   2238 
     21748582     PULS   2223 
     21748584     PULS   2204 
     21748586     PULS   2190 
     21748588     PULS   2176 
     21748590     PULS   2166 
     21748592     PULS   2152 
     21748594     PULS   2143 
     21748596     PULS   2133 
     21748598     PULS   2124 
     21748600     PULS   2124 
     21748602     PULS   2114 
     21748604     PULS   2109 
     21748606     PULS   2109 
     21748608     PULS   2105 
     21748610     PULS   2100 
     21748612     PULS   2095 
     21748614     PULS   2095 
     21748616     PULS   2095 
     21748618     PULS   2095 
     21748620     PULS   2095 
     21748622     PULS   2100 
     21748624     PULS   2105 
     21748626     PULS   2105 
     21748628     PULS   2109 
     21748630     PULS   2114 
     21748632     PULS   2124 
     21748634     PULS   2128 
     21748636     PULS   2138 
     21748638     PULS   2143 
     21748640     PULS   2152 
     21748642     PULS   2152 
     21748644     PULS   2157 
     21748646     PULS   2157 
     21748648     PULS   2162 
     21748650     PULS   2162 
     21748652     PULS   2162 
     21748654     PULS   2166 
     21748656     PULS   2162 
     21748658     PULS   2162 
     21748660     PULS   2157 
     21748662     PULS   2152 
     21748664     PULS   2147 
     21748666     PULS   2143 
     21748668     PULS   2138 
     21748670     PULS   2128 
     21748672     PULS   2119 
     21748674     PULS   2109 
     21748676     PULS   2100 
     21748678     PULS   2090 
     21748680     PULS   2081 
     21748682     PULS   2071 
     21748684     PULS   2067 
     21748686     PULS   2052 
     21748690     PULS   2036 
     21748692     PULS   2024 
     21748694     PULS   2012 
     21748696     PULS   2000 
     21748698     PULS   1988 
     21748700     PULS   1982 
     21748702     PULS   1970 
     21748704     PULS   1964 
     21748706     PULS   1958 
     21748708     PULS   1952 
     21748710     PULS   1946 
     21748712     PULS   1940 
     21748714     PULS   1934 
     21748716     PULS   1928 
     21748718     PULS   1922 
     21748720     PULS   1916 
     21748722     PULS   1910 
     21748724     PULS   1898 
     21748726     PULS   1886 
     21748728     PULS   1886 
     21748730     PULS   1874 
     21748732     PULS   1862 
     21748734     PULS   1850 
     21748736     PULS   1832 
     21748738     PULS   1820 
     21748740     PULS   1808 
     21748742     PULS   1790 
     21748744     PULS   1790 
     21748746     PULS   1784 
     21748748     PULS   1772 
     21748750     PULS   1772 
     21748752     PULS   1772 
     21748754     PULS   1772 
     21748756     PULS   1772 
     21748758     PULS   1778 
     21748760     PULS   1784 
     21748762     PULS   1790 
     21748764     PULS   1790 
     21748766     PULS   1796 
     21748768     PULS   1802 
     21748770     PULS   1808 
     21748772     PULS   1808 
     21748774     PULS   1820 
     21748776     PULS   1820 
     21748778     PULS   1820 
     21748780     PULS   1814 
     21748782     PULS   1814 
     21748784     PULS   1808 
     21748786     PULS   1796 
     21748788     PULS   1790 
     21748790     PULS   1784 
     21748792     PULS   1778 
     21748794     PULS   1772 
     21748796     PULS   1766 
     21748798     PULS   1760 
     21748800     PULS   1754 
     21748802     PULS   1754 
     21748804     PULS   1754 
     21748806     PULS   1748 
     21748808     PULS   1754 
     21748810     PULS   1748 
     21748812     PULS   1754 
     21748814     PULS   1748 
     21748816     PULS   1760 
     21748818     PULS   1760 
     21748820     PULS   1766 
     21748822     PULS   1772 
     21748824     PULS   1772 
     21748826     PULS   1778 
     21748828     PULS   1778 
     21748830     PULS   1790 
     21748832     PULS   1796 
     21748834     PULS   1808 
     21748836     PULS   1826 
     21748838     PULS   1850 
     21748840     PULS   1874 
     21748842     PULS   1904 
     21748844     PULS   1946 
     21748846     PULS   1988 
     21748848     PULS   2042 
     21748850     PULS   2090 
     21748852     PULS   2150 
     21748854     PULS   2204 
     21748856     PULS   2270 
     21748858     PULS   2336 
     21748860     PULS   2402 
     21748862     PULS   2468 
     21748864     PULS   2540 
     21748866     PULS   2600 
     21748868     PULS   2654 
     21748870     PULS   2708 
     21748872     PULS   2756 
     21748874     PULS   2798 
     21748876     PULS   2840 
     21748878     PULS   2870 
     21748880     PULS   2900 
     21748882     PULS   2924 
     21748884     PULS   2942 
     21748886     PULS   2960 
     21748888     PULS   2972 
     21748890     PULS   2972 
     21748892     PULS   2972 
     21748894     PULS   2966 
     21748896     PULS   2948 
     21748898     PULS   2924 
     21748900     PULS   2912 
     21748902     PULS   2888 
     21748904     PULS   2858 
     21748906     PULS   2834 
     21748908     PULS   2804 
     21748910     PULS   2774  PULS_TRIGGER
     21748912     PULS   2744 
     21748914     PULS   2708 
     21748916     PULS   2672 
     21748918     PULS   2642 
     21748920     PULS   2606 
     21748922     PULS   2564 
     21748924     PULS   2528 
     21748926     PULS   2492 
     21748928     PULS   2456 
     21748930     PULS   2426 
     21748932     PULS   2396 
     21748934     PULS   2378 
     21748936     PULS   2360 
     21748938     PULS   2342 
     21748940     PULS   2324 
     21748942     PULS   2306 
     21748944     PULS   2282 
     21748946     PULS   2258 
     21748948     PULS   2240 
     21748950     PULS   2222 
     21748952     PULS   2204 
     21748954     PULS   2180 
     21748956     PULS   2174 
     21748958     PULS   2156 
     21748960     PULS   2150 
     21748962     PULS   2132 
     21748964     PULS   2120 
     21748966     PULS   2120 
     21748968     PULS   2108 
     21748970     PULS   2102 
     21748972     PULS   2096 
     21748974     PULS   2096 
     21748976     PULS   2084 
     21748978     PULS   2090 
     21748980     PULS   2090 
     21748982     PULS   2096 
     21748984     PULS   2096 
     21748986     PULS   2102 
     21748988     PULS   2102 
     21748990     PULS   2114 
     21748992     PULS   2126 
     21748994     PULS   2132 
     21748996     PULS   2138 
     21748998     PULS   2150 
     21749000     PULS   2156 
     21749002     PULS   2174 
     21749004     PULS   2174 
     21749006     PULS   2186 
     21749008     PULS   2186 
     21749010     PULS   2198 
     21749012     PULS   2204 
     21749014     PULS   2204 
     21749016     PULS   2198 
     21749018     PULS   2198 
     21749020     PULS   2186 
     21749022     PULS   2174 
     21749024     PULS   2156 
     21749026     PULS   2138 
     21749028     PULS   2120 
     21749030     PULS   2096 
     21749032     PULS   2084 
     21749034     PULS   2072 
     21749036     PULS   2060 
     21749040     PULS   2042 
     21749042     PULS   2030 
     21749044     PULS   2024 
     21749046     PULS   2012 
     21749048     PULS   2000 
     21749050     PULS   1994 
     21749052     PULS   1982 
     21749054     PULS   1976 
     21749056     PULS   1970 
     21749058     PULS   1958 
     21749060     PULS   1952 
     21749062     PULS   1946 
     21749064     PULS   1946 
     21749066     PULS   1934 
     21749068     PULS   1934 
     21749070     PULS   1928 
     21749072     PULS   1916 
     21749074     PULS   1904 
     21749076     PULS   1892 
     21749078     PULS   1886 
     21749080     PULS   1880 
     21749082     PULS   1874 
     21749084     PULS   1868 
     21749086     PULS   1862 
     21749088     PULS   1862 
     21749090     PULS   1862 
     21749092     PULS   1856 
     21749094     PULS   1862 
     21749096     PULS   1862 
     21749098     PULS   1862 
     21749100     PULS   1868 
     21749102     PULS   1868 
     21749104     PULS   1880 
     21749106     PULS   1886 
     21749108     PULS   1892 
     21749110     PULS   1904 
     21749112     PULS   1904 
     21749114     PULS   1904 
     21749116     PULS   1904 
     21749118     PULS   1904 
     21749120     PULS   1904 
     21749122     PULS   1898 
     21749124     PULS   1886 
     21749126     PULS   1880 
     21749128     PULS   1862 
     21749130     PULS   1850 
     21749132     PULS   1844 
     21749134     PULS   1838 
     21749136     PULS   1832 
     21749138     PULS   1832 
     21749140     PULS   1832 
     21749142     PULS   1826 
     21749144     PULS   1826 
     21749146     PULS   1826 
     21749148     PULS   1820 
     21749150     PULS   1820 
     21749152     PULS   1808 
     21749154     PULS   1802 
     21749156     PULS   1796 
     21749158     PULS   1784 
     21749160     PULS   1784 
     21749162     PULS   1778 
     21749164     PULS   1778 
     21749166     PULS   1772 
     21749168     PULS   1772 
     21749170     PULS   1772 
     21749172     PULS   1778 
     21749174     PULS   1784 
     21749176     PULS   1790 
     21749178     PULS   1808 
     21749180     PULS   1814 
     21749182     PULS   1814 
     21749184     PULS   1820 
     21749186     PULS   1826 
     21749188     PULS   1826 
     21749190     PULS   1826 
     21749192     PULS   1826 
     21749194     PULS   1814 
     21749196     PULS   1808 
     21749198     PULS   1808 
     21749200     PULS   1796 
     21749202     PULS   1790 
     21749204     PULS   1790 
     21749206     PULS   1784 
     21749208     PULS   1784 
     21749210     PULS   1790 
     21749212     PULS   1796 
     21749214     PULS   1814 
     21749216     PULS   1838 
     21749218     PULS   1874 
     21749220     PULS   1922 
     21749222     PULS   1976 
     21749224     PULS   2030 
     21749226     PULS   2096 
     21749228     PULS   2174 
     21749230     PULS   2252 
     21749232     PULS   2336 
     21749234     PULS   2414 
     21749236     PULS   2498 
     21749238     PULS   2576 
     21749240     PULS   2648 
     21749242     PULS   2714 
     21749244     PULS   2768 
     21749246     PULS   2816 
     21749248     PULS   2870 
     21749250     PULS   2906 
     21749252     PULS   2936 
     21749254     PULS   2960 
     21749256     PULS   2972 
     21749258     PULS   2978 
     21749260     PULS   2984 
     21749262     PULS   2984 
     21749264     PULS   2984 
     21749266     PULS   2972 
     21749268     PULS   2966 
     21749270     PULS   2942 
     21749272     PULS   2924 
     21749274     PULS   2906 
     21749276     PULS   2876 
     21749278     PULS   2852 
     21749280     PULS   2828 
     21749282     PULS   2798  PULS_TRIGGER
     21749284     PULS   2768 
     21749286     PULS   2744 
     21749288     PULS   2714 
     21749290     PULS   2684 
     21749292     PULS   2660 
     21749294     PULS   2624 
     21749296     PULS   2594 
     21749298     PULS   2570 
     21749300     PULS   2528 
     21749302     PULS   2504 
     21749304     PULS   2468 
     21749306     PULS   2438 
     21749308     PULS   2408 
     21749310     PULS   2378 
     21749312     PULS   2354 
     21749314     PULS   2330 
     21749316     PULS   2306 
     21749318     PULS   2276 
     21749320     PULS   2252 
     21749322     PULS   2228 
     21749324     PULS   2210 
     21749326     PULS   2186 
     21749328     PULS   2168 
     21749330     PULS   2144 
     21749332     PULS   2126 
     21749334     PULS   2102 
     21749336     PULS   2084 
     21749338     PULS   2078 
     21749340     PULS   2066 
     21749342     PULS   2060 
     21749344     PULS   2060 
     21749346     PULS   2066 
     21749348     PULS   2072 
     21749350     PULS   2072 
     21749352     PULS   2078 
     21749354     PULS   2084 
     21749356     PULS   2096 
     21749358     PULS   2102 
     21749360     PULS   2108 
     21749362     PULS   2114 
     21749364     PULS   2126 
     21749366     PULS   2132 
     21749368     PULS   2138 
     21749370     PULS   2144 
     21749372     PULS   2150 
     21749374     PULS   2150 
     21749376     PULS   2156 
     21749378     PULS   2162 
     21749380     PULS   2168 
     21749382     PULS   2174 
     21749384     PULS   2180 
     21749386     PULS   2186 
     21749388     PULS   2192 
     21749390     PULS   2198 
     21749392     PULS   2204 
     21749394     PULS   2204 
     21749396     PULS   2204 
     21749398     PULS   2198 
     21749400     PULS   2198 
     21749402     PULS   2186 
     21749404     PULS   2186 
     21749406     PULS   2174 
     21749408     PULS   2174 
     21749410     PULS   2168 
     21749412     PULS   2156 
     21749414     PULS   2150 
     21749416     PULS   2144 
     21749418     PULS   2138 
     21749420     PULS   2132 
     21749422     PULS   2126 
     21749424     PULS   2120 
     21749426     PULS   2114 
     21749428     PULS   2108 
     21749430     PULS   2096 
     21749432     PULS   2096 
     21749434     PULS   2078 
     21749436     PULS   2072 
     21749438     PULS   2054 
     21749440     PULS   2042 
     21749442     PULS   2030 
     21749444     PULS   2018 
     21749446     PULS   2000 
     21749448     PULS   1994 
     21749450     PULS   1988 
     21749452     PULS   1982 
     21749454     PULS   1970 
     21749456     PULS   1964 
     21749458     PULS   1958 
     21749460     PULS   1952 
     21749462     PULS   1940 
     21749464     PULS   1940 
     21749466     PULS   1934 
     21749468     PULS   1928 
     21749470     PULS   1922 
     21749472     PULS   1916 
     21749474     PULS   1916 
     21749476     PULS   1910 
     21749478     PULS   1910 
     21749480     PULS   1910 
     21749482     PULS   1910 
     21749484     PULS   1904 
     21749486     PULS   1910 
     21749488     PULS   1910 
     21749490     PULS   1916 
     21749492     PULS   1916 
     21749494     PULS   1916 
     21749496     PULS   1922 
     21749498     PULS   1910 
     21749500     PULS   1916 
     21749502     PULS   1904 
     21749504     PULS   1904 
     21749506     PULS   1898 
     21749508     PULS   1892 
     21749510     PULS   1892 
     21749512     PULS   1886 
     21749514     PULS   1880 
     21749516     PULS   1868 
     21749518     PULS   1868 
     21749520     PULS   1856 
     21749522     PULS   1844 
     21749524     PULS   1838 
     21749526     PULS   1832 
     21749528     PULS   1826 
     21749530     PULS   1814 
     21749532     PULS   1808 
     21749534     PULS   1802 
     21749536     PULS   1790 
     21749538     PULS   1790 
     21749540     PULS   1784 
     21749542     PULS   1784 
     21749544     PULS   1784 
     21749546     PULS   1790 
     21749548     PULS   1796 
     21749550     PULS   1808 
     21749552     PULS   1814 
     21749554     PULS   1820 
     21749556     PULS   1820 
     21749558     PULS   1826 
     21749560     PULS   1832 
     21749562     PULS   1832 
     21749564     PULS   1832 
     21749566     PULS   1832 
     21749568     PULS   1832 
     21749570     PULS   1832 
     21749572     PULS   1832 
     21749574     PULS   1838 
     21749576     PULS   1832 
     21749578     PULS   1838 
     21749580     PULS   1844 
     21749582     PULS   1850 
     21749584     PULS   1862 
     21749586     PULS   1856 
     21749588     PULS   1856 
     21749590     PULS   1850 
     21749592     PULS   1844 
     21749594     PULS   1844 
     21749596     PULS   1838 
     21749598     PULS   1844 
     21749600     PULS   1844 
     21749602     PULS   1850 
     21749604     PULS   1862 
     21749606     PULS   1886 
     21749608     PULS   1910 
     21749610     PULS   1952 
     21749612     PULS   2006 
     21749614     PULS   2054 
     21749616     PULS   2120 
     21749618     PULS   2186 
     21749620     PULS   2252 
     21749622     PULS   2324 
     21749624     PULS   2390 
     21749626     PULS   2456 
     21749628     PULS   2522 
     21749630     PULS   2582 
     21749632     PULS   2636 
     21749634     PULS   2690 
     21749636     PULS   2744 
     21749638     PULS   2792 
     21749640     PULS   2834 
     21749642     PULS   2876 
     21749644     PULS   2906 
     21749646     PULS   2942 
     21749648     PULS   2966 
     21749650     PULS   2984 
     21749652     PULS   2996 
     21749654     PULS   3002 
     21749656     PULS   2996 
     21749658     PULS   2996 
     21749660     PULS   2984 
     21749662     PULS   2978 
     21749664     PULS   2960 
     21749666     PULS   2936 
     21749668     PULS   2918 
     21749670     PULS   2900 
     21749672     PULS   2870 
     21749674     PULS   2846 
     21749676     PULS   2816  PULS_TRIGGER
     21749678     PULS   2786 
     21749680     PULS   2744 
     21749682     PULS   2702 
     21749684     PULS   2660 
     21749686     PULS   2618 
     21749688     PULS   2576 
     21749690     PULS   2540 
     21749692     PULS   2504 
     21749694     PULS   2468 
     21749696     PULS   2432 
     21749698     PULS   2402 
     21749700     PULS   2366 
     21749702     PULS   2336 
     21749704     PULS   2300 
     21749706     PULS   2270 
     21749708     PULS   2240 
     21749710     PULS   2210 
     21749712     PULS   2186 
     21749714     PULS   2156 
     21749716     PULS   2132 
     21749718     PULS   2102 
     21749720     PULS   2084 
     21749722     PULS   2054 
     21749724     PULS   2036 
     21749726     PULS   2012 
     21749728     PULS   1994 
     21749730     PULS   1982 
     21749732     PULS   1970 
     21749734     PULS   1964 
     21749736     PULS   1964 
     21749738     PULS   1970 
     21749740     PULS   1976 
     21749742     PULS   1982 
     21749744     PULS   1988 
     21749746     PULS   2006 
     21749748     PULS   2012 
     21749750     PULS   2030 
     21749752     PULS   2042 
     21749756     PULS   2072 
     21749758     PULS   2084 
     21749760     PULS   2108 
     21749762     PULS   2120 
     21749764     PULS   2144 
