UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21531309     RESP   1724 
     21531317     RESP   1739 
     21531325     RESP   1754 
     21531333     RESP   1775 
     21531341     RESP   1793 
     21531349     RESP   1817 
     21531357     RESP   1850 
     21531365     RESP   1874 
     21531373     RESP   1904 
     21531381     RESP   1928 
     21531389     RESP   1964 
     21531397     RESP   1982 
     21531405     RESP   2009 
     21531413     RESP   2033 
     21531421     RESP   2057 
     21531429     RESP   2087 
     21531437     RESP   2114 
     21531445     RESP   2141 
     21531453     RESP   2165 
     21531461     RESP   2195 
     21531469     RESP   2222 
     21531477     RESP   2246 
     21531485     RESP   2264 
     21531493     RESP   2282 
     21531501     RESP   2306 
     21531509     RESP   2336 
     21531517     RESP   2366 
     21531525     RESP   2390 
     21531533     RESP   2414 
     21531541     RESP   2432 
     21531549     RESP   2450 
     21531557     RESP   2471 
     21531565     RESP   2492 
     21531573     RESP   2516 
     21531581     RESP   2528 
     21531589     RESP   2552 
     21531597     RESP   2561 
     21531605     RESP   2570 
     21531613     RESP   2579 
     21531621     RESP   2588 
     21531629     RESP   2600 
     21531637     RESP   2606 
     21531645     RESP   2606 
     21531653     RESP   2603 
     21531661     RESP   2606 
     21531669     RESP   2603 
     21531677     RESP   2600 
     21531685     RESP   2585 
     21531693     RESP   2561 
     21531701     RESP   2540 
     21531709     RESP   2516 
     21531717     RESP   2483 
     21531725     RESP   2456 
     21531733     RESP   2423 
     21531741     RESP   2390 
     21531749     RESP   2348 
     21531757     RESP   2315 
     21531765     RESP   2273 
     21531773     RESP   2234 
     21531781     RESP   2195 
     21531789     RESP   2162 
     21531797     RESP   2126 
     21531805     RESP   2093 
     21531813     RESP   2060 
     21531821     RESP   2027 
     21531829     RESP   2000 
     21531837     RESP   1973 
     21531845     RESP   1943 
     21531853     RESP   1916 
     21531861     RESP   1898 
     21531869     RESP   1880 
     21531877     RESP   1853 
     21531885     RESP   1832 
     21531893     RESP   1823 
     21531901     RESP   1853 
     21531909     RESP   1871 
     21531917     RESP   1856 
     21531925     RESP   1847 
     21531933     RESP   1838 
     21531941     RESP   1826 
     21531949     RESP   1808 
     21531957     RESP   1793 
     21531965     RESP   1781 
     21531973     RESP   1772 
     21531981     RESP   1766 
     21531989     RESP   1751 
     21531997     RESP   1736 
     21532005     RESP   1730 
     21532013     RESP   1727 
     21532021     RESP   1715 
     21532029     RESP   1700 
     21532037     RESP   1697 
     21532045     RESP   1700 
     21532053     RESP   1703 
     21532061     RESP   1715 
     21532069     RESP   1718 
     21532077     RESP   1727 
     21532085     RESP   1727 
     21532093     RESP   1724 
     21532101     RESP   1727 
     21532109     RESP   1727 
     21532117     RESP   1724 
     21532125     RESP   1727 
     21532133     RESP   1727 
     21532141     RESP   1727 
     21532149     RESP   1727 
     21532157     RESP   1727 
     21532165     RESP   1724 
     21532173     RESP   1730 
     21532181     RESP   1730 
     21532189     RESP   1730 
     21532197     RESP   1727 
     21532205     RESP   1727 
     21532213     RESP   1730 
     21532221     RESP   1727 
     21532229     RESP   1727 
     21532237     RESP   1730 
     21532245     RESP   1733 
     21532253     RESP   1724 
     21532261     RESP   1724 
     21532269     RESP   1730 
     21532277     RESP   1742 
     21532285     RESP   1748 
     21532293     RESP   1751 
     21532301     RESP   1754 
     21532309     RESP   1763 
     21532317     RESP   1760 
     21532325     RESP   1751 
     21532333     RESP   1742 
     21532341     RESP   1730 
     21532349     RESP   1727 
     21532357     RESP   1724 
     21532365     RESP   1715 
     21532373     RESP   1712 
     21532381     RESP   1709 
     21532389     RESP   1715 
     21532397     RESP   1709 
     21532405     RESP   1709 
     21532413     RESP   1712 
     21532421     RESP   1715 
     21532429     RESP   1736 
     21532437     RESP   1757 
     21532445     RESP   1781 
     21532453     RESP   1796 
     21532461     RESP   1820 
     21532469     RESP   1847 
     21532477     RESP   1880 
     21532485     RESP   1910 
     21532493     RESP   1931 
     21532501     RESP   1961 
     21532509     RESP   1994 
     21532517     RESP   2021 
     21532525     RESP   2051 
     21532533     RESP   2081 
     21532541     RESP   2108 
     21532549     RESP   2138 
     21532557     RESP   2171 
     21532565     RESP   2201 
     21532573     RESP   2237 
     21532581     RESP   2264 
     21532589     RESP   2291 
     21532597     RESP   2318 
     21532605     RESP   2354 
     21532613     RESP   2384 
     21532621     RESP   2408 
     21532629     RESP   2429 
     21532637     RESP   2459 
     21532645     RESP   2492 
     21532653     RESP   2525 
     21532661     RESP   2561 
     21532669     RESP   2591 
     21532677     RESP   2612 
     21532685     RESP   2633 
     21532693     RESP   2654 
     21532701     RESP   2666 
     21532709     RESP   2684 
     21532717     RESP   2702 
     21532725     RESP   2720 
     21532733     RESP   2741 
     21532741     RESP   2747 
     21532749     RESP   2759 
     21532757     RESP   2768 
     21532765     RESP   2774 
     21532773     RESP   2780 
     21532781     RESP   2780 
     21532789     RESP   2786 
     21532797     RESP   2783 
     21532805     RESP   2780 
     21532813     RESP   2771 
     21532821     RESP   2750 
     21532829     RESP   2735 
     21532837     RESP   2717 
     21532845     RESP   2693 
     21532853     RESP   2660 
     21532861     RESP   2630 
     21532869     RESP   2597 
     21532877     RESP   2564 
     21532885     RESP   2522 
     21532893     RESP   2483 
     21532901     RESP   2441 
     21532909     RESP   2402 
     21532917     RESP   2363 
     21532925     RESP   2324 
     21532933     RESP   2288 
     21532941     RESP   2252 
     21532949     RESP   2219 
     21532957     RESP   2186 
     21532965     RESP   2156 
     21532973     RESP   2126 
     21532981     RESP   2087 
     21532989     RESP   2057 
     21532997     RESP   2024 
     21533005     RESP   2003 
     21533013     RESP   1985 
     21533021     RESP   1958 
     21533029     RESP   1940 
     21533037     RESP   1928 
     21533045     RESP   1913 
     21533053     RESP   1886 
     21533061     RESP   1871 
     21533069     RESP   1856 
     21533077     RESP   1841 
     21533085     RESP   1829 
     21533093     RESP   1814 
     21533101     RESP   1799 
     21533109     RESP   1787 
     21533117     RESP   1772 
     21533125     RESP   1763 
     21533133     RESP   1754 
     21533141     RESP   1739 
     21533149     RESP   1730 
     21533157     RESP   1727 
     21533165     RESP   1724 
     21533173     RESP   1733 
     21533181     RESP   1730 
     21533189     RESP   1727 
     21533197     RESP   1718 
     21533205     RESP   1721 
     21533213     RESP   1718 
     21533221     RESP   1715 
     21533229     RESP   1712 
     21533237     RESP   1712 
     21533245     RESP   1709 
     21533253     RESP   1703 
     21533261     RESP   1709 
     21533269     RESP   1712 
     21533277     RESP   1715 
     21533285     RESP   1712 
     21533293     RESP   1712 
     21533301     RESP   1715 
     21533309     RESP   1715 
     21533317     RESP   1712 
     21533325     RESP   1712 
     21533333     RESP   1712 
     21533341     RESP   1712 
     21533349     RESP   1715 
     21533357     RESP   1712 
     21533365     RESP   1706 
     21533373     RESP   1703 
     21533381     RESP   1712 
     21533389     RESP   1724 
     21533397     RESP   1724 
     21533405     RESP   1727 
     21533413     RESP   1733 
     21533421     RESP   1739 
     21533429     RESP   1742 
     21533437     RESP   1739 
     21533445     RESP   1727 
     21533453     RESP   1721 
     21533461     RESP   1718 
     21533469     RESP   1718 
     21533477     RESP   1715 
     21533485     RESP   1709 
     21533493     RESP   1706 
     21533501     RESP   1709 
     21533509     RESP   1706 
     21533517     RESP   1697 
     21533525     RESP   1697 
     21533533     RESP   1697 
     21533541     RESP   1706 
     21533549     RESP   1712 
     21533557     RESP   1721 
     21533565     RESP   1721 
     21533573     RESP   1727 
     21533581     RESP   1727 
     21533589     RESP   1733 
     21533597     RESP   1733 
     21533605     RESP   1736 
     21533613     RESP   1739 
     21533621     RESP   1742 
     21533629     RESP   1754 
     21533637     RESP   1766 
     21533645     RESP   1775 
     21533653     RESP   1784 
     21533661     RESP   1805 
     21533669     RESP   1826 
     21533677     RESP   1853 
     21533685     RESP   1874 
     21533693     RESP   1901 
     21533701     RESP   1928 
     21533709     RESP   1958 
     21533717     RESP   1985 
     21533725     RESP   2012 
     21533733     RESP   2039 
     21533741     RESP   2066 
     21533749     RESP   2093 
     21533757     RESP   2120 
     21533765     RESP   2138 
     21533773     RESP   2168 
     21533781     RESP   2207 
     21533789     RESP   2243 
     21533797     RESP   2273 
     21533805     RESP   2300 
     21533813     RESP   2330 
     21533821     RESP   2360 
     21533829     RESP   2393 
     21533837     RESP   2423 
     21533845     RESP   2453 
     21533853     RESP   2477 
     21533861     RESP   2513 
     21533869     RESP   2540 
     21533877     RESP   2567 
     21533885     RESP   2588 
     21533893     RESP   2609 
     21533901     RESP   2627 
     21533909     RESP   2645 
     21533917     RESP   2660 
     21533925     RESP   2681 
     21533933     RESP   2705 
     21533941     RESP   2732 
     21533949     RESP   2750 
     21533957     RESP   2774 
     21533965     RESP   2792 
     21533973     RESP   2816 
     21533981     RESP   2834 
     21533989     RESP   2858 
     21533997     RESP   2870 
     21534005     RESP   2885 
     21534013     RESP   2894 
     21534021     RESP   2894 
     21534029     RESP   2903 
     21534037     RESP   2912 
     21534045     RESP   2909 
     21534053     RESP   2906 
     21534061     RESP   2897 
     21534069     RESP   2888 
     21534077     RESP   2867 
     21534085     RESP   2834 
     21534093     RESP   2795 
     21534101     RESP   2753 
