UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21529881     PULS   2270 
     21529883     PULS   2246 
     21529885     PULS   2222 
     21529887     PULS   2204 
     21529889     PULS   2186 
     21529891     PULS   2168 
     21529893     PULS   2150 
     21529895     PULS   2138 
     21529897     PULS   2120 
     21529899     PULS   2108 
     21529901     PULS   2096 
     21529903     PULS   2084 
     21529905     PULS   2078 
     21529907     PULS   2066 
     21529909     PULS   2060 
     21529913     PULS   2042 
     21529915     PULS   2024 
     21529917     PULS   2006 
     21529919     PULS   1982 
     21529921     PULS   1958 
     21529923     PULS   1940 
     21529925     PULS   1916 
     21529927     PULS   1898 
     21529929     PULS   1886 
     21529931     PULS   1868 
     21529933     PULS   1856 
     21529935     PULS   1856 
     21529937     PULS   1856 
     21529939     PULS   1850 
     21529941     PULS   1850 
     21529943     PULS   1838 
     21529945     PULS   1826 
     21529947     PULS   1814 
     21529949     PULS   1796 
     21529951     PULS   1784 
     21529953     PULS   1772 
     21529955     PULS   1748 
     21529957     PULS   1730 
     21529959     PULS   1712 
     21529961     PULS   1694 
     21529963     PULS   1676 
     21529965     PULS   1652 
     21529967     PULS   1634 
     21529969     PULS   1610 
     21529971     PULS   1580 
     21529973     PULS   1556 
     21529975     PULS   1532 
     21529977     PULS   1514 
     21529979     PULS   1496 
     21529981     PULS   1478 
     21529983     PULS   1460 
     21529985     PULS   1442 
     21529987     PULS   1430 
     21529989     PULS   1418 
     21529991     PULS   1406 
     21529993     PULS   1400 
     21529995     PULS   1388 
     21529997     PULS   1382 
     21529999     PULS   1364 
     21530001     PULS   1352 
     21530003     PULS   1346 
     21530005     PULS   1334 
     21530007     PULS   1328 
     21530009     PULS   1310 
     21530011     PULS   1298 
     21530013     PULS   1286 
     21530015     PULS   1268 
     21530017     PULS   1244 
     21530019     PULS   1220 
     21530021     PULS   1196 
     21530023     PULS   1178 
     21530025     PULS   1160 
     21530027     PULS   1148 
     21530029     PULS   1154 
     21530031     PULS   1154 
     21530033     PULS   1160 
     21530035     PULS   1178 
     21530037     PULS   1190 
     21530039     PULS   1208 
     21530041     PULS   1220 
     21530043     PULS   1226 
     21530045     PULS   1232 
     21530047     PULS   1226 
     21530049     PULS   1226 
     21530051     PULS   1226 
     21530053     PULS   1226 
     21530055     PULS   1232 
     21530057     PULS   1232 
     21530059     PULS   1250 
     21530061     PULS   1262 
     21530063     PULS   1274 
     21530065     PULS   1292 
     21530067     PULS   1322 
     21530069     PULS   1358 
     21530071     PULS   1406 
     21530073     PULS   1460 
     21530075     PULS   1526 
     21530077     PULS   1604 
     21530079     PULS   1682 
     21530081     PULS   1766 
     21530083     PULS   1850 
     21530085     PULS   1934 
     21530087     PULS   2012 
     21530089     PULS   2108 
     21530091     PULS   2190 
     21530093     PULS   2273 
     21530095     PULS   2348 
     21530097     PULS   2415 
     21530099     PULS   2475 
     21530101     PULS   2535 
     21530103     PULS   2588 
     21530105     PULS   2648 
     21530107     PULS   2708 
     21530109     PULS   2768 
     21530111     PULS   2813 
     21530113     PULS   2850 
     21530115     PULS   2880 
     21530117     PULS   2903 
     21530119     PULS   2910 
     21530121     PULS   2918 
     21530123     PULS   2925 
     21530125     PULS   2918 
     21530127     PULS   2910 
     21530129     PULS   2918 
     21530131     PULS   2925 
     21530133     PULS   2925 
     21530135     PULS   2925 
     21530137     PULS   2925 
     21530139     PULS   2910 
     21530141     PULS   2903 
     21530143     PULS   2880 
     21530145     PULS   2850 
     21530147     PULS   2828 
     21530149     PULS   2798 
     21530151     PULS   2768 
     21530153     PULS   2730 
     21530155     PULS   2693 
     21530157     PULS   2648 
     21530159     PULS   2603 
     21530161     PULS   2550 
     21530163     PULS   2513 
     21530165     PULS   2460 
     21530167     PULS   2423 
     21530169     PULS   2378 
     21530171     PULS   2333 
     21530173     PULS   2295 
     21530175     PULS   2250 
     21530177     PULS   2205 
     21530179     PULS   2168 
     21530181     PULS   2138 
     21530183     PULS   2100 
     21530185     PULS   2078 
     21530187     PULS   2055 
     21530189     PULS   2025 
     21530191     PULS   1995 
     21530193     PULS   1980 
     21530195     PULS   1965 
     21530197     PULS   1943 
     21530199     PULS   1920 
     21530201     PULS   1905 
     21530203     PULS   1883 
     21530205     PULS   1868 
     21530207     PULS   1853 
     21530209     PULS   1845 
     21530211     PULS   1838 
     21530213     PULS   1830 
     21530215     PULS   1823 
     21530217     PULS   1808 
     21530219     PULS   1793 
     21530221     PULS   1778 
     21530223     PULS   1763 
     21530225     PULS   1748 
     21530227     PULS   1733 
     21530229     PULS   1733 
     21530231     PULS   1725 
     21530233     PULS   1725 
     21530235     PULS   1725 
     21530237     PULS   1733 
     21530239     PULS   1733 
